id,date,state,city,killed,injured,inc_url,eve_url,latitude,longitude
377189,2015-07-19,Virginia,Suffolk,0,4,http://gunviolencearchive.org/incident/377189,http://wavy.com/2015/07/19/breaking-four-people-shot-in-suffolk/,36.7257,-76.5677
377181,2015-07-19,North Carolina,Rocky Mount,0,4,http://gunviolencearchive.org/incident/377181,http://abc11.com/news/infant-seriously-injured-in-shooting-on-highway-64-/863397/,35.9457,-77.7581
378102,2015-07-18,California,San Diego,0,4,http://gunviolencearchive.org/incident/378102,http://www.cbs8.com/story/29582039/police-looking-for-man-who-shot-4-in-logan-heights,32.7043,-117.124
390936,2015-07-18,California,Santa Paula,0,5,http://gunviolencearchive.org/incident/390936,http://www.santapaulatimes.com/news/archivestory.php/aid/30225/SPPD:_Suspect_in_party_bus_drop-off_shooting_arrested_Saturday.html,34.4009,-119.08
376702,2015-07-18,Oregon,Salem,1,4,http://gunviolencearchive.org/incident/376702,http://apps.co.marion.or.us/JailRosters/mccf_roster.html#,44.9489,-122.991
377423,2015-07-18,Louisiana,Baton Rouge,2,2,http://gunviolencearchive.org/incident/377423,http://www.ksla.com/story/29582821/baton-rouge-police-drive-by-shooters-kill-2-injure-2,30.4457,-91.171
376211,2015-07-17,Illinois,Chicago,0,5,http://gunviolencearchive.org/incident/376211,http://www.nbcchicago.com/news/local/chicago-violence-five-shot-west-garfield-park-friday-316363111.html,41.8848,-87.7359
376203,2015-07-17,Ohio,Cincinnati (Westwood),0,4,http://gunviolencearchive.org/incident/376203,http://www.wlwt.com/news/police-multiple-people-shot-in-westwood/34228566,39.1436,-84.5789
375022,2015-07-16,Tennessee,Chattanooga,6,2,http://gunviolencearchive.org/incident/375022,http://www.huffingtonpost.com/entry/shooter-tennessee-quran_55aab832e4b065dfe89e8af5?,35.0905,-85.2591
375773,2015-07-16,Texas,Dallas,0,5,http://gunviolencearchive.org/incident/375773,http://crimeblog.dallasnews.com/2015/07/man-18-held-in-shooting-of-minyard-food-store-security-guard.html/,32.7788,-96.8565
374602,2015-07-15,Georgia,Atlanta,0,5,http://gunviolencearchive.org/incident/374602,http://m.wsbtv.com/news/news/local/double-shooting-investigated-nw-atlanta/nmzQt/,33.7689,-84.4638
375322,2015-07-15,Maryland,Baltimore,1,3,http://gunviolencearchive.org/incident/375322,http://data.baltimoresun.com/bing-maps/homicides/index.php?show_results=UPDATE+MAP&range=30&district=all&zipcode=All&cause=shooting&age=all&gender=all&race=all&article=all,39.3285,-76.6824
375412,2015-07-15,Ohio,Cleveland,0,7,http://gunviolencearchive.org/incident/375412,http://fox8.com/2015/07/16/at-least-7-injured-in-overnight-drive-by-shooting-on-clevelands-east-side/,41.5376,-81.6019
374965,2015-07-15,Michigan,Detroit,0,4,http://gunviolencearchive.org/incident/374965,http://www.freep.com/story/news/local/michigan/detroit/2015/07/15/detroit-shooting-4-people-shot-west-side/30220511/,42.362,-83.2117
374630,2015-07-15,South Carolina,Holly Hill,4,1,http://gunviolencearchive.org/incident/374630,http://thetandd.com/news/sheriff-dad-s-drug-dealing-responsible-for-deaths/article_d54693a5-3dfb-56fb-90d9-50e7c8533f28.html,33.3467,-80.45
374292,2015-07-14,Missouri,Saint Louis,0,4,http://gunviolencearchive.org/incident/374292,http://www.kmov.com/story/29549465/police-investigating-quadruple-shooting-in-north-st-louis,38.7227,-90.2361
373993,2015-07-13,California,Norwalk,0,4,http://gunviolencearchive.org/incident/373993,http://www.presstelegram.com/general-news/20150713/four-shot-at-hermosillo-park-in-norwalk-suspects-at-large,33.8844,-118.078
373768,2015-07-13,California,Stockton,1,4,http://gunviolencearchive.org/incident/373768,http://sacramento.cbslocal.com/2015/07/13/1-dead-4-injured-in-stockton-shooting-2/,37.9709,-121.291
373095,2015-07-12,Illinois,River Forest,2,3,http://gunviolencearchive.org/incident/373095,http://patch.com/illinois/oakpark/police-shooting-river-forest-sunday-morning,41.8819,-87.815
373063,2015-07-12,New Jersey,Jersey City,0,4,http://gunviolencearchive.org/incident/373063,http://www.nj.com/hudson/index.ssf/2015/07/four_people_injured_in_jersey_city_shooting_police.html#incart_river,40.732,-74.0707
370474,2015-07-07,Maryland,Baltimore,3,1,http://gunviolencearchive.org/incident/370474,http://www.wbaltv.com/news/police-identify-victims-from-quadruple-shooting-in-west-baltimore/34072806?absolute=true,39.2901,-76.6324
369014,2015-07-05,Louisiana,Shreveport,0,8,http://gunviolencearchive.org/incident/369014,http://www.ksla.com/story/29538718/spd-third-person-sought-in-connection-with-shooting-that-injured-8,32.4801,-93.7804
368732,2015-07-05,Indiana,Fort Wayne,0,9,http://gunviolencearchive.org/incident/368732,http://www.journalgazette.net/news/Shooting-results-in-9-victims--1-critical-7559271,41.0793,-85.1394
369196,2015-07-05,New Jersey,East Orange,1,3,http://gunviolencearchive.org/incident/369196,http://www.northjersey.com/news/4-shot-1-fatally-in-east-orange-1.1369394,40.7586,-74.2205
369410,2015-07-04,Kentucky,Louisville,0,4,http://gunviolencearchive.org/incident/369410,http://www.wdrb.com/story/29476632/metrosafe-dispatcher-says-multiple-victims-shot-near-25th-and-broadway,38.249,-85.7937
368987,2015-07-04,Massachusetts,Pittsfield,1,4,http://gunviolencearchive.org/incident/368987,http://www.berkshireeagle.com/news/ci_28435940/reports-1-shot-dead-four-wounded-pittsfield-shooting,42.4542,-73.2604
368995,2015-07-04,New York,Syracuse,0,4,http://gunviolencearchive.org/incident/368995,http://www.syracuse.com/crime/index.ssf/2015/07/4_people_shot_as_suspect_opens_fire_on_syracuse_crowd_watching_july_4th_firework.html#incart_story_package,43.0334,-76.1612
369127,2015-07-04,Texas,San Antonio,0,4,http://gunviolencearchive.org/incident/369127,http://www.mysanantonio.com/news/local/article/Police-Fight-over-women-led-to-North-Side-6366733.php,29.472,-98.526
368867,2015-07-04,District of Columbia,Washington,1,3,http://gunviolencearchive.org/incident/368867,http://www.wusa9.com/story/news/local/dc/2015/07/30/july-fourth-quadruple-shooting-men-arrested/30916883/,38.8519,-76.9775
367780,2015-07-02,Indiana,Indianapolis,1,3,http://gunviolencearchive.org/incident/367780,http://www.wthr.com/story/30554448/suspect-identified-in-fatal-july-2-shooting-in-indianapolis,39.7747,-86.1949
366046,2015-06-29,Florida,Opa Locka,0,4,http://gunviolencearchive.org/incident/366046,http://www.wsvn.com/story/29437311/4-shot-in-opa-locka-neighborhood,0,0
365391,2015-06-28,Michigan,Detroit,0,5,http://gunviolencearchive.org/incident/365391,http://www.detroitnews.com/story/news/local/detroit-city/2015/06/28/several-shot-detroit-block-party/29449155/,42.416,-82.9902
367099,2015-06-28,Illinois,Venice,0,6,http://gunviolencearchive.org/incident/367099,http://thetelegraph.com/news/68559/alton-brothers-charged-in-shooting,38.6723,-90.1698
365399,2015-06-28,Delaware,Harrington,0,6,http://gunviolencearchive.org/incident/365399,http://www.delawareonline.com/story/news/crime/2015/06/28/people-shot-party/29445973/,38.921,-75.5748
364872,2015-06-27,Massachusetts,Taunton,1,3,http://gunviolencearchive.org/incident/364872,http://wpri.com/2015/07/09/taunton-teen-charged-with-murder-in-fatal-shooting/,41.8948,-71.091
364789,2015-06-27,Michigan,Detroit,0,4,http://gunviolencearchive.org/incident/364789,http://www.detroitnews.com/story/news/local/detroit-city/2015/06/28/several-shot-detroit-block-party/29449155/,42.3914,-82.9728
363418,2015-06-24,New York,New York (Manhattan),0,4,http://gunviolencearchive.org/incident/363418,https://www.dnainfo.com/new-york/20150624/central-harlem/4-people-wounded-1-critically-daylight-shooting-harlem-sources-say,40.8107,-73.9373
361948,2015-06-22,Pennsylvania,Philadelphia,0,7,http://gunviolencearchive.org/incident/361948,http://philadelphia.cbslocal.com/2015/06/22/cops-7-people-hurt-in-kensington-shooting/,39.9974,-75.1172
366949,2015-06-21,Pennsylvania,Pittsburgh (Wilkinsburg),0,4,http://gunviolencearchive.org/incident/366949,http://pittsburgh.cbslocal.com/2015/06/22/county-police-homicide-detectives-investigating-shooting-in-wilkinsburg/,40.4382,-79.8796
361708,2015-06-21,Kentucky,Lexington,1,4,http://gunviolencearchive.org/incident/361708,http://www.lex18.com/story/29404751/victim-in-douglass-park-shooting-dies,38.0686,-84.5023
361212,2015-06-20,Michigan,Detroit,1,11,http://gunviolencearchive.org/incident/361212,http://www.detroitnews.com/story/news/local/detroit-city/2015/06/21/block-party-shooting/29069505/,42.3797,-83.1241
360895,2015-06-20,North Carolina,Morven,0,4,http://gunviolencearchive.org/incident/360895,http://www.wbtv.com/story/29369047/four-shot-in-anson-county-shootout,34.864,-80.0012
